書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6769-7.htm"",""マイナビ将棋BOOKS 将棋・基本戦法まるわかり事典 振り飛車編"")"	A	四間飛車, 居飛車, 振り飛車, 横歩取り, 三間飛車, 中飛車		2018年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5134-4.htm"",""マイナビ将棋BOOKS 最強アマ直伝！ 勝てる将棋、勝てる戦法"")"	B	中飛車, 三間飛車		2014年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6631-7.htm"",""谷川浩司の将棋 矢倉篇"")"	A	角換わり, 居飛車		2018年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6740-6.htm"",""マイナビ将棋BOOKS コンピュータは将棋をどう変えたか？"")"	S	四間飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2018年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6752-9.htm"",""マイナビ将棋BOOKS 増田康宏の新・将棋観 堅さからバランスへ"")"	B	居飛車, 角換わり, 振り飛車, 三間飛車		2018年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/344/978-4-344-97784-6.htm"",""つるの将棋 女流七番勝負"")"	B	振り飛車, 中飛車		2014年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6696-6.htm"",""マイナビ将棋BOOKS 奇襲の王様 筋違い角のすべて"")"	A	四間飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2018年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6731-4.htm"",""マイナビ将棋BOOKS 将棋・究極の勝ち方 入玉の極意"")"	A+	居飛車		2018年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6650-8.htm"",""マイナビ将棋BOOKS 緩急自在の新戦法！ 三間飛車藤井システム"")"	S	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2018年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6652-2.htm"",""マイナビ将棋BOOKS 現代将棋の核心に迫る！ 将棋指定局面バトル 居飛車編"")"	B+	角換わり, 振り飛車, 居飛車, 横歩取り		2018年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6710-9.htm"",""マイナビ将棋BOOKS 新型雁木のすべて"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2018年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6712-3.htm"",""マイナビ将棋BOOKS 振飛車最前線 石田流VS△1四歩型"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車		2018年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3335-7.htm"",""マイコミ将棋文庫SP 新・詰将棋道場 親しみやすい200題"")"	A			2009年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5246-4.htm"",""マイナビ将棋文庫SP ひと目の石田流"")"	A	居飛車, 中飛車, 振り飛車, 三間飛車		2014年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/7575/978-4-7575-4315-7.htm"",""ヤングガンガンコミックス よん駒！"")"	B			2014年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5369-0.htm"",""マイナビ将棋BOOKS 現代横歩取りのすべて"")"	A	横歩取り		2014年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/309/978-4-309-27511-6.htm"",""羽生善治の定跡の教科書"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2014年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5547-2.htm"",""マイナビ将棋文庫 将棋・必殺の決め手"")"	B			2015年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5368-3.htm"",""マイナビ将棋文庫 全戦型対応！囲いの破り方 〜実戦でそのまま使える180手筋〜"")"	A	角換わり		2014年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6571-6.htm"",""マイナビ将棋BOOKS 戦慄の▲7七金！ 奇襲きんとうん戦法"")"	B	四間飛車, 角換わり, 横歩取り, 三間飛車		2018年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6515-0.htm"",""マイナビ将棋BOOKS 相掛かりの新常識"")"	A	居飛車, 横歩取り		2018年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6420-7.htm"",""マイナビ将棋BOOKS 史上最速の攻撃戦法 極限早繰り銀"")"	B	角換わり, 中飛車, 横歩取り		2018年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6548-8.htm"",""マイナビ将棋BOOKS 振り飛車はどこに行くのか？ プロが教える全振り飛車の定跡最先端"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2018年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6524-2.htm"",""マイナビ将棋BOOKS 対抗形の急所がわかる！ 居飛車VS振り飛車の重要テーマ"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2018年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-048-9.htm"",""最強将棋レクチャーブックス 四間飛車上達法"")"	A	四間飛車, 居飛車, 振り飛車		2017年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75116-0.htm"",""将棋パワーアップシリーズ 持ち駒のない詰将棋5手"")"	B			2015年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6309-5.htm"",""マイナビ将棋BOOKS これが決定版！相中飛車徹底ガイド"")"	A	居飛車, 中飛車		2017年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8163/978-4-8163-6337-5.htm"",""羽生善治の詰みと必至 1分トレーニング 最短距離で勝ちパターンが身につく"")"	S			2017年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75115-3.htm"",""将棋パワーアップシリーズ 加藤一二三の5手詰め"")"	B			2015年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/07/978-4-07-427520-5.htm"",""豊川孝弘の将棋オヤジギャグ大全集"")"	B			2017年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016255-2.htm"",""NHK将棋シリーズ 天彦流 中盤戦術 「局面の推移」と「形勢」で読みとく"")"	A	角換わり		2017年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/480/4-480-67003-3.htm"",""一手決断・将棋戦法(3) 谷川流 速攻矢倉"")"	C			1986年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6334-7.htm"",""サクサク解ける 詰将棋練習帳 風の巻"")"	A			2017年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/537/978-4-537-21527-4.htm"",""藤井聡太 名人をこす少年"")"	C	振り飛車		2017年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6380-4.htm"",""天才棋士降臨・藤井聡太 炎の七番勝負と連勝記録の衝撃"")"	B	角換わり, 中飛車		2017年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/408/978-4-408-41466-9.htm"",""森信雄の強くなる！将棋新格言40レッスン 目指すはあこがれの初段！ 著者創作の将棋新格言＋次の一手・詰将棋 入門から初段まで"")"	B	振り飛車		2017年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8002/978-4-8002-7585-1.htm"",""別冊宝島(2613) 中学生プロ棋士 藤井聡太 新たなる伝説 「50年に1度の天才棋士」その実力と素顔"")"	A			2017年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6219-7.htm"",""マイナビ将棋BOOKS 横歩取りで勝つ 攻めの最強手筋ガイド"")"	A	四間飛車, 横歩取り		2017年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0224-0.htm"",""81マス どこでも詰ませる5･7･9手"")"	B		週刊将棋	1999年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/408/978-4-408-41444-7.htm"",""終盤力がアップする 詰めろ将棋273題"")"	A			2016年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/408/978-4-408-11186-5.htm"",""詰めろ将棋"")"	S			2016年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6119-0.htm"",""マイナビ将棋BOOKS 横歩取り最前線 いま、プロが注目する2つの手段"")"	B	横歩取り		2016年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6091-9.htm"",""マイナビ将棋BOOKS これで万全！奇襲破り事典"")"	B	四間飛車, 中飛車, 横歩取り		2017年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6041-4.htm"",""マイナビ将棋BOOKS 格言・用語で覚える 居飛車の基本手筋"")"	A	角換わり, 居飛車, 横歩取り		2016年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5459-8.htm"",""マイナビ将棋文庫SP ひと目の角換わり"")"	B	角換わり		2015年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6159-6.htm"",""マイナビ将棋BOOKS 全戦型対応！ 将棋・端の攻め方、受け方"")"	A	振り飛車, 居飛車, 横歩取り		2016年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5437-6.htm"",""マイナビ将棋BOOKS 将棋・詰みの基本手筋"")"	A			2016年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/978-4-415-31767-0.htm"",""もっと羽生流！ 初段 + プラスの詰将棋150題 5手詰から実戦「次の一手」まで羽生流を楽しむ！"")"	C			2014年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75027-9.htm"",""将棋パワーアップシリーズ 青野照市の基本の詰将棋5手"")"	A			2015年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/978-4-415-32234-6.htm"",""康光流 超実戦の詰将棋 初段 150題 一段玉、二段玉、三段玉を攻める"")"	B			2016年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/415/978-4-415-32191-2.htm"",""ステップアップ詰将棋 3手・5手・7手 160題 解くスジがわかるから長い手にも挑戦できる！"")"	B			2016年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1587-3.htm"",""新・プロの将棋シリーズ(3) コーヤン流三間飛車 実戦編"")"	B	四間飛車, 中飛車, 居飛車, 三間飛車		2004年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-570-8.htm"",""秘法巻之五 真・石田伝説"")"	A	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車	週刊将棋	1992年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1007-3.htm"",""東大将棋ブックス 横歩取り道場 第五巻 続8五飛戦法"")"	A	横歩取り		2003年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0900-8.htm"",""東大将棋ブックス 横歩取り道場 第四巻 8五飛戦法"")"	A	横歩取り		2003年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0033-7.htm"",""振り飛車新世紀(6) 杉本流四間飛車 ──封殺！居飛車穴熊"")"	B	四間飛車, 振り飛車, 居飛車		1998年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-692-5.htm"",""振り飛車新世紀(3) 久保流四間飛車（下） ──居飛穴粉砕！"")"	B	四間飛車, 居飛車, 振り飛車		1997年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-671-2.htm"",""スーパー四間飛車・最新版(1) 急戦！居飛穴破り"")"	B	四間飛車, 中飛車, 居飛車, 振り飛車		1997年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/278/4-278-08102-2.htm"",""現代三間飛車の定跡（�U）"")"	B	居飛車, 三間飛車	東公平	1977年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/278/4-278-08101-4.htm"",""現代三間飛車の定跡（�T）"")"	A	居飛車, 中飛車, 四間飛車, 三間飛車	東公平	1976年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/88574/4-88574-429-6.htm"",""将棋の公式"")"	S	居飛車, 角換わり, 中飛車, 横歩取り		1967年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0360-9.htm"",""超過激！トラトラ新戦法 ぶっちぎりで勝つ"")"	B	四間飛車, 居飛車, 角換わり, 横歩取り, 中飛車		1999年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0395-6.htm"",""高田流 新感覚振り飛車破り"")"	B	四間飛車, 居飛車, 振り飛車, 角換わり, 三間飛車, 中飛車		2000年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0371-4.htm"",""パワーアップシリーズ 鉄壁！トーチカ戦法"")"	B	居飛車, 中飛車, 振り飛車, 四間飛車		2003年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-698-4.htm"",""快勝！スーパー穴熊"")"	B	四間飛車, 振り飛車, 中飛車, 居飛車		1998年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5194-8.htm"",""マイナビ将棋BOOKS 三浦の矢倉研究 脇システム編"")"	C			2014年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-682-8.htm"",""振り飛車新世紀(2) 久保流四間飛車(上) ──棒銀撃破！"")"	B	四間飛車, 居飛車, 振り飛車		1997年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75036-4.htm"",""先手三間飛車破り 急戦で仕掛ける方法を徹底解説"")"	S	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		1988年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-641-0.htm"",""勝負の視点 研究と実戦の間"")"	B	四間飛車, 居飛車, 横歩取り		1995年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0103-7.htm"",""森安流四間飛車"")"	A	四間飛車, 居飛車, 振り飛車		1983年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0101-0.htm"",""疾風 谷川将棋"")"	A	四間飛車, 居飛車, 中飛車, 三間飛車		1983年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3264-0.htm"",""プロへの道"")"	A	角換わり, 振り飛車		2009年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5725-4.htm"",""研究で勝つ！相横歩取りのすべて"")"	A	横歩取り		2015年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5685-1.htm"",""マイナビ将棋BOOKS 四間飛車の逆襲"")"	A	四間飛車, 居飛車		2015年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5472-7.htm"",""マイナビ将棋BOOKS 誰も言わなかった居飛車穴熊撃滅戦法"")"	B	四間飛車, 振り飛車, 居飛車		2015年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4664-7.htm"",""将棋連盟文庫 逆転の7手詰"")"	A			2013年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5503-8.htm"",""将棋連盟文庫 解いて役立つ5手詰200問"")"	A			2015年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5435-2.htm"",""マイナビ将棋文庫 終盤が強くなる1手・3手必至"")"	A			2015年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-042-7.htm"",""最強将棋21 角交換四間飛車を指しこなす本"")"	A	四間飛車, 居飛車, 振り飛車		2014年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5370-6.htm"",""マイナビ将棋文庫 爽快！5手詰トレーニング200"")"	A			2014年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/408/978-4-408-33313-7.htm"",""詰将棋一丁目三番地 1手・3手詰将棋＋上達アドバイス"")"	A			2014年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5247-1.htm"",""久保流 最強先手振り飛車"")"	C	居飛車, 中飛車, 振り飛車, 四間飛車		2014年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75029-3.htm"",""手筋を覚える問題集196問"")"	A			2014年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5248-8.htm"",""駒落ちの教科書 八枚〜二枚落ち編"")"	B	四間飛車, 中飛車, 横歩取り		2014年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75117-7.htm"",""将棋パワーアップシリーズ 3手詰将棋"")"	B			2014年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5192-4.htm"",""マイナビ将棋BOOKS 藤森流急戦矢倉"")"	A			2014年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5372-0.htm"",""マイナビ将棋BOOKS 奇襲振り飛車戦法 〜その狙いと対策〜"")"	B	四間飛車, 居飛車, 振り飛車, 角換わり, 中飛車		2014年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5095-8.htm"",""マイナビ将棋BOOKS 早分かり 角道オープン四間飛車 定跡ガイド"")"	B	四間飛車, 振り飛車, 居飛車, 中飛車		2014年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5059-0.htm"",""マイナビ将棋BOOKS 石田流破り 左美濃 徹底ガイド"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2014年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4931-0.htm"",""早分かり 相矢倉定跡ガイド"")"	B			2013年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4912-9.htm"",""杉本流相振りのセンス"")"	A	四間飛車, 居飛車, 振り飛車, 横歩取り, 三間飛車, 中飛車		2013年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5000-2.htm"",""マイナビ将棋BOOKS 横歩取りマップ"")"	A	横歩取り		2013年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5016-3.htm"",""マイナビ将棋BOOKS 全戦型対応 穴熊の戦い方"")"	A	四間飛車, 角換わり, 居飛車, 振り飛車		2014年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5049-1.htm"",""マイナビ将棋文庫SP ひと目の仕掛け 振り飛車編"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2014年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5048-4.htm"",""マイナビ将棋BOOKS 豊島の将棋 実戦と研究"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2014年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5074-3.htm"",""マイナビ将棋文庫SP ひと目の中飛車"")"	A	居飛車, 中飛車		2014年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-4909-9.htm"",""マイナビ将棋BOOKS 角交換四間飛車 最新ガイド"")"	B	四間飛車, 中飛車, 居飛車, 三間飛車, 振り飛車		2013年11月	
