書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7196-0.htm"",""マイナビ将棋BOOKS 横歩取り▲5八玉＆▲6八玉戦法"")"	B+	居飛車, 横歩取り		2020年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7135-9.htm"",""マイナビ将棋BOOKS 中飛車粉砕！超速▲3七銀戦法のすべて"")"	A	居飛車, 振り飛車, 中飛車		2020年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7138-0.htm"",""マイナビ将棋文庫 2手詰 相手の手を読む新感覚トレーニング"")"	A			2019年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6791-8.htm"",""マイナビ将棋文庫 妙手に俗手、駒余りもあり！実戦詰め筋事典"")"	A			2018年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7134-2.htm"",""マイナビ将棋BOOKS 現代角換わりのすべて"")"	S	四間飛車, 角換わり, 居飛車		2019年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7137-3.htm"",""令和新手白書 【振り飛車編】"")"	A	四間飛車, 居飛車, 振り飛車, 横歩取り, 三間飛車, 中飛車		2019年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7126-7.htm"",""マイナビ将棋BOOKS 将棋 初段の常識手筋"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 振り飛車		2019年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7121-2.htm"",""マイナビ将棋BOOKS 英春流 かまいたち＆カメレオン戦法"")"	B	四間飛車, 居飛車, 振り飛車, 横歩取り, 三間飛車, 中飛車		2019年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7104-5.htm"",""マイナビ将棋文庫 直感精読 加藤一二三の詰将棋"")"	A			2019年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7124-3.htm"",""マイナビ将棋BOOKS ▲6七金左型矢倉 徹底ガイド"")"	B+	居飛車		2019年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7123-6.htm"",""マイナビ将棋BOOKS 受けが弱いと将棋は勝てない 今泉流受けの極意"")"	A			2019年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7129-8.htm"",""マイナビ将棋文庫 3手詰修了検定"")"	A			2019年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7072-7.htm"",""マイナビ将棋BOOKS 角交換相振り飛車 徹底ガイド"")"	A	四間飛車, 居飛車, 振り飛車, 角換わり, 三間飛車, 中飛車		2019年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7090-1.htm"",""マイナビムック 将棋世界Special 将棋戦法事典100＋ 王道 流行 珍戦法 完全網羅！"")"	A	四間飛車, 居飛車, 振り飛車, 角換わり, 横歩取り, 三間飛車, 中飛車		2019年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6950-9.htm"",""マイナビ将棋BOOKS スリル＆ロマン 対振り飛車右玉"")"	B+	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2019年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7033-8.htm"",""マイナビ将棋文庫 令和版 囲いの破り方"")"	A	四間飛車, 居飛車, 角換わり, 横歩取り, 振り飛車		2019年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7070-3.htm"",""マイナビ将棋BOOKS 相掛かり▲6八玉型 徹底ガイド"")"	A	角換わり, 居飛車, 横歩取り		2019年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-7000-0.htm"",""マイナビ将棋BOOKS △3三金型振り飛車 徹底ガイド"")"	A	四間飛車, 居飛車, 角換わり, 三間飛車, 振り飛車		2019年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6993-6.htm"",""マイナビ将棋BOOKS 誰も言わなかった右玉の破り方"")"	B+	四間飛車, 居飛車, 振り飛車, 角換わり, 中飛車		2019年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6998-1.htm"",""マイナビ将棋BOOKS 角交換四間飛車の新常識 最強△3三角型"")"	B+	四間飛車, 居飛車, 振り飛車		2019年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/594/978-4-594-08237-6.htm"",""扶桑社新書 将棋「観る将になれるかな」会議"")"	B+	四間飛車, 振り飛車, 居飛車		2019年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-5569-4.htm"",""マイナビ将棋BOOKS 奇襲研究所 嬉野流編"")"	A	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2015年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6932-5.htm"",""マイナビ将棋BOOKS さわやか流疾風三間飛車"")"	A+	振り飛車, 居飛車, 三間飛車		2019年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6574-7.htm"",""マイナビ将棋BOOKS 変幻自在！現代右玉のすべて"")"	A	角換わり, 振り飛車		2018年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6914-1.htm"",""マイナビ将棋BOOKS 急所を直撃！とっておきの雁木破り"")"	B+	角換わり, 振り飛車, 居飛車, 三間飛車		2019年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6843-4.htm"",""マイナビ将棋BOOKS もはや死角なし！進化版 極限早繰り銀"")"	B+	居飛車, 角換わり, 振り飛車, 横歩取り		2019年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6948-6.htm"",""マイナビ将棋BOOKS 大橋貴洸の新研究 耀龍ひねり飛車"")"	A	横歩取り		2019年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6912-7.htm"",""マイナビ将棋BOOKS 対振り飛車の大革命 エルモ囲い急戦"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2019年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6404-7.htm"",""マイナビ将棋BOOKS 徹底解明！横歩取りの最重要テーマ"")"	A	横歩取り		2018年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6812-0.htm"",""マイナビ将棋BOOKS 勝ちやすさNo.1！ 対振りなんでも居飛車穴熊"")"	B	四間飛車, 中飛車, 居飛車, 横歩取り, 三間飛車, 振り飛車		2019年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-6822-9.htm"",""マイナビ将棋BOOKS 振り飛車の新機軸！ 初手▲7八飛戦法"")"	B+	居飛車, 振り飛車, 三間飛車		2019年3月	
